name,path,sha,size,url,html_url,git_url,download_url,type,City,topic
introduction tidyverse   ,introduction tidyverse   ,2ca7a4a65b2e5281cd5d0e7dc478b44e07ebcdc5,0,https://api.github.com/repos/rladies/meetup-presentations_loughborough/contents/introduction_tidyverse_16-04-18?ref=master,https://github.com/rladies/meetup-presentations_loughborough/tree/master/introduction_tidyverse_16-04-18,https://api.github.com/repos/rladies/meetup-presentations_loughborough/git/trees/2ca7a4a65b2e5281cd5d0e7dc478b44e07ebcdc5,NA,dir,Loughborough,tidyverse
  Untidyverse with career tips,  Untidyverse with career tips,3fe99990bc7495ea2d2d3303e330886dd08c18eb,0,https://api.github.com/repos/rladies/meetup-presentations_lyon/contents/2019_04_Untidyverse_with_career_tips?ref=master,https://github.com/rladies/meetup-presentations_lyon/tree/master/2019_04_Untidyverse_with_career_tips,https://api.github.com/repos/rladies/meetup-presentations_lyon/git/trees/3fe99990bc7495ea2d2d3303e330886dd08c18eb,NA,dir,Lyon,tidyverse
  dplyr episode  rise of the vctrs,  dplyr episode  rise of the vctrs,5811574feb5b92052e2fb5be56f49083f315d07f,0,https://api.github.com/repos/rladies/meetup-presentations_lyon/contents/2019_11_dplyr_episode_9_rise_of_the_vctrs?ref=master,https://github.com/rladies/meetup-presentations_lyon/tree/master/2019_11_dplyr_episode_9_rise_of_the_vctrs,https://api.github.com/repos/rladies/meetup-presentations_lyon/git/trees/5811574feb5b92052e2fb5be56f49083f315d07f,NA,dir,Lyon,dplyr
madrid  Rmarkdown,madrid  Rmarkdown,1b061f3a11e059581cbd15ff0f742c29ccb18696,0,https://api.github.com/repos/rladies/meetup-presentations_madrid/contents/madrid_20180525_Rmarkdown?ref=master,https://github.com/rladies/meetup-presentations_madrid/tree/master/madrid_20180525_Rmarkdown,https://api.github.com/repos/rladies/meetup-presentations_madrid/git/trees/1b061f3a11e059581cbd15ff0f742c29ccb18696,NA,dir,Madrid,rmarkdown
  rmarkdown,  rmarkdown,3ca4c50c022a71f8c1d01f7d4e27efcba0f35e60,0,https://api.github.com/repos/rladies/meetup-presentations_mendoza/contents/2019-06-18-rmarkdown?ref=master,https://github.com/rladies/meetup-presentations_mendoza/tree/master/2019-06-18-rmarkdown,https://api.github.com/repos/rladies/meetup-presentations_mendoza/git/trees/3ca4c50c022a71f8c1d01f7d4e27efcba0f35e60,NA,dir,Mendoza,rmarkdown
  ggplot,  ggplot,986e0bdfc5bf81082878853ccd2585663c43e61a,0,https://api.github.com/repos/rladies/meetup-presentations_montevideo/contents/2017-11-15-ggplot2?ref=master,https://github.com/rladies/meetup-presentations_montevideo/tree/master/2017-11-15-ggplot2,https://api.github.com/repos/rladies/meetup-presentations_montevideo/git/trees/986e0bdfc5bf81082878853ccd2585663c43e61a,NA,dir,Montevideo,ggplot
  rmarkdown,  rmarkdown,ce32ded3774ae686f5a81a6cc87c9e3443f4c8be,0,https://api.github.com/repos/rladies/meetup-presentations_montevideo/contents/2018-06-07-rmarkdown?ref=master,https://github.com/rladies/meetup-presentations_montevideo/tree/master/2018-06-07-rmarkdown,https://api.github.com/repos/rladies/meetup-presentations_montevideo/git/trees/ce32ded3774ae686f5a81a6cc87c9e3443f4c8be,NA,dir,Montevideo,rmarkdown
  tidyverse,  tidyverse,96d8f88eeafb3bbcef18a203bff393d07dd0d0eb,0,https://api.github.com/repos/rladies/meetup-presentations_montevideo/contents/2018-10-23-tidyverse?ref=master,https://github.com/rladies/meetup-presentations_montevideo/tree/master/2018-10-23-tidyverse,https://api.github.com/repos/rladies/meetup-presentations_montevideo/git/trees/96d8f88eeafb3bbcef18a203bff393d07dd0d0eb,NA,dir,Montevideo,tidyverse
  shiny,  shiny,c4b1b3729938357cd63e46ee7fadd156ada2093d,0,https://api.github.com/repos/rladies/meetup-presentations_montevideo/contents/2019-05-29-shiny?ref=master,https://github.com/rladies/meetup-presentations_montevideo/tree/master/2019-05-29-shiny,https://api.github.com/repos/rladies/meetup-presentations_montevideo/git/trees/c4b1b3729938357cd63e46ee7fadd156ada2093d,NA,dir,Montevideo,shiny
 ggplot, ggplot,5e7e00398003a57473980e632457c8a0c5224a98,0,https://api.github.com/repos/rladies/meetup-presentations_montreal/contents/20180419_ggplot?ref=master,https://github.com/rladies/meetup-presentations_montreal/tree/master/20180419_ggplot,https://api.github.com/repos/rladies/meetup-presentations_montreal/git/trees/5e7e00398003a57473980e632457c8a0c5224a98,NA,dir,Montreal,ggplot
 shiny, shiny,8398c8eff033e22d09003742201ddf35301927b3,0,https://api.github.com/repos/rladies/meetup-presentations_montreal/contents/20181018_shiny?ref=master,https://github.com/rladies/meetup-presentations_montreal/tree/master/20181018_shiny,https://api.github.com/repos/rladies/meetup-presentations_montreal/git/trees/8398c8eff033e22d09003742201ddf35301927b3,NA,dir,Montreal,shiny
 dplyr, dplyr,4f5d486e5699eb5e09d1f826a2166488a84d3e5f,0,https://api.github.com/repos/rladies/meetup-presentations_montreal/contents/20190117_dplyr?ref=master,https://github.com/rladies/meetup-presentations_montreal/tree/master/20190117_dplyr,https://api.github.com/repos/rladies/meetup-presentations_montreal/git/trees/4f5d486e5699eb5e09d1f826a2166488a84d3e5f,NA,dir,Montreal,dplyr
 rladies git intro, rladies git intro,51807f9d8b5e4064ac1730ca03f3618931cbd853,0,https://api.github.com/repos/rladies/meetup-presentations_montreal/contents/20190418_rladies-git-intro?ref=master,https://github.com/cldougl/rladies-git-intro/tree/51807f9d8b5e4064ac1730ca03f3618931cbd853,https://api.github.com/repos/cldougl/rladies-git-intro/git/trees/51807f9d8b5e4064ac1730ca03f3618931cbd853,NA,file,Montreal,git
 dplyr workshop, dplyr workshop,b9c18d8c880fe9f53f55d0d28bbfec2c478ebb52,0,https://api.github.com/repos/rladies/meetup-presentations_montreal/contents/20191121_dplyr-workshop?ref=master,https://github.com/rladies/meetup-presentations_montreal/tree/master/20191121_dplyr-workshop,https://api.github.com/repos/rladies/meetup-presentations_montreal/git/trees/b9c18d8c880fe9f53f55d0d28bbfec2c478ebb52,NA,dir,Montreal,dplyr
 portfolio modelling, portfolio modelling,993f826eee0fec086201875b14ed0ac4d53c02e8,0,https://api.github.com/repos/rladies/meetup-presentations_montreal/contents/20200116_portfolio-modelling?ref=master,https://github.com/Scott-Clone/portfolio-modelling/tree/993f826eee0fec086201875b14ed0ac4d53c02e8,https://api.github.com/repos/Scott-Clone/portfolio-modelling/git/trees/993f826eee0fec086201875b14ed0ac4d53c02e8,NA,file,Montreal,Modelling
