City,html_url,topic,language
Buenosaires,https://github.com/rladies/meetup-presentations_buenosaires/tree/master/2017-09-30%20-%20Quinto%20evento%20-%20Taller%20de%20Shiny,shiny,Spanish
DC,https://github.com/rladies/meetup-presentations_dc/tree/master/RiseAndShiny,shiny,English
Irvine,https://github.com/rladies/meetup-presentations_irvine/tree/master/2019-01-30_Happy-Shiny-New-Year,shiny,English
Istanbul,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20180106_UI_Shiny.zip,shiny,English
Istanbul,https://github.com/rladies/meetup-presentations_istanbul/blob/master/20200223_ShinyWorkshop.zip,shiny,English
Lausanne,https://github.com/rladies/meetup-presentations_lausanne/tree/master/20180314_shiny,shiny,English
London,https://github.com/rladies/meetup-presentations_london/tree/master/2016-09_Shiny,shiny,English
London,https://github.com/rladies/meetup-presentations_london/tree/master/2018-07_Shiny_Dashboard_Workshop,shiny,English
London_ontario,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2018-04-03_Shiny,shiny,English
London_ontario,https://github.com/rladies/meetup-presentations_london_ontario/tree/master/2020-02-11_shiny,shiny,English
Montevideo,https://github.com/rladies/meetup-presentations_montevideo/tree/master/2019-05-29-shiny,shiny,Spanish
Montreal,https://github.com/rladies/meetup-presentations_montreal/tree/master/20181018_shiny,shiny,English
Nashville,https://github.com/rladies/meetup-presentations_nashville/tree/master/2017-03-21_intro_shiny,shiny,English
Oslo,https://github.com/rladies/meetup-presentations_oslo/tree/master/shiny-workshop,shiny,English
RTP,https://github.com/rladies/meetup-presentations_rtp/tree/master/2017-03-09-shiny,shiny,English
Sandiego,https://github.com/rladies/meetup-presentations_sandiego/tree/master/2017-09-20_shiny,shiny,English
Sandiego,https://github.com/rladies/meetup-presentations_sandiego/tree/master/2019-05-28_Shiny-Katie,shiny,English
Santabarbara,https://github.com/rladies/meetup-presentations_santabarbara/tree/gh-pages/2019_10_30_shiny_basics,shiny,English
Stockholm,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Getting%20Started%20with%20Shiny.pptx,shiny,English
Stockholm,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Getting%20Started%20with%20Shiny.zip,shiny,English
Stockholm,https://github.com/rladies/meetup-presentations_stockholm/blob/master/Shiny%20ada%20conference.pdf,shiny,English
Tbilisi,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_04_12_shiny,shiny,English
Tbilisi,https://github.com/rladies/meetup-presentations_tbilisi/tree/master/2017_10_18_Shiny,shiny,English
